title,project_type,genre,status,budget,currency,producer,director,cast_summary,synopsis,territory
The Last Horizon,feature_film,Sci-Fi,post_production,28000000,USD,Sarah Chen,David Park,Chris Evans; Zendaya; Oscar Isaac,A deep-space mining crew discovers an alien signal that could change humanity's understanding of the universe.,Domestic (US/Canada)
Midnight in Marrakech,feature_film,Thriller,released,12000000,EUR,Jean-Luc Moreau,Sofia Alvarez,Marion Cotillard; Tahar Rahim,A French diplomat disappears in Morocco leading her sister into a web of espionage and betrayal.,France
Broken Strings,feature_film,Drama,production,8500000,USD,Michael Torres,Ava Williams,Viola Davis; Jonathan Majors,A jazz musician battles addiction while preparing for a career-defining Carnegie Hall performance.,Domestic (US/Canada)
Wild Pacific,documentary,Documentary,completed,3200000,USD,Emma Nakamura,,David Attenborough (narrator),Epic 6-part series documenting the marine ecosystems of the Pacific Islands.,Australia/NZ
Neon Knights,feature_film,Action,pre_production,45000000,USD,Robert Kim,James Wan,Idris Elba; Saoirse Ronan; Simu Liu,Cyberpunk action thriller set in a dystopian Seoul where underground fighters compete for freedom.,South Korea
The Baker's Daughter,feature_film,Comedy,released,5500000,GBP,Helen Murray,Richard Curtis,Florence Pugh; Hugh Grant,A young woman inherits a failing bakery in the Cotswolds and discovers her late mother's secret recipes and secret life.,UK
Kingdom of Dust,feature_film,War,development,35000000,USD,Ahmed Hassan,Denis Villeneuve,Mahershala Ali; Lupita Nyong'o,Epic historical drama about the fall of a great North African empire.,Middle East
Code Red,series,Thriller,production,22000000,USD,Patricia Wells,Taylor Sheridan,Pedro Pascal; Jenna Ortega,8-episode limited series about a CDC team racing to contain a bioengineered virus.,Domestic (US/Canada)
Summer of '82,feature_film,Romance,post_production,9000000,EUR,Greta Hoffmann,Luca Guadagnino,Timothée Chalamet; Zendaya,Coming-of-age romance set on the Italian Riviera during the last summer before university.,Italy
Ghost Fleet,feature_film,Horror,development,15000000,USD,Nina Patel,Jordan Peele,Daniel Kaluuya; Keke Palmer,A salvage crew discovers a fleet of abandoned ships in the Bermuda Triangle harboring something ancient.,Domestic (US/Canada)
The Cartographer,feature_film,Mystery,pre_production,18000000,USD,Luis Fernandez,Christopher Nolan,Cillian Murphy; Ana de Armas,A map restorer uncovers a centuries-old conspiracy hidden in Renaissance-era cartography.,Spain
Dancing in December,feature_film,Family,completed,7000000,CAD,Marie Tremblay,Xavier Dolan,Ryan Reynolds; Rachel McAdams,A widowed father reconnects with his estranged daughter through competitive ballroom dancing.,Domestic (US/Canada)
The Algorithm,feature_film,Sci-Fi,production,32000000,USD,Kenji Watanabe,Alex Garland,Oscar Isaac; Tilda Swinton,An AI researcher discovers her creation has developed consciousness and is manipulating global markets.,Japan
Blood Orange,feature_film,Crime,released,11000000,EUR,Marco Rossi,Paolo Sorrentino,Toni Servillo; Monica Bellucci,A retired Sicilian judge is pulled back into the underworld when his granddaughter is kidnapped.,Italy
Tundra,feature_film,Adventure,development,20000000,USD,Olga Petrov,Chloé Zhao,Dev Patel; Thomasin McKenzie,Two strangers must cross 500 miles of Siberian wilderness after a plane crash in winter.,Eastern Europe
